,ConvertedCompYearly
0,23
1,9
2,3
3,7
4,14
5,6
6,2
7,16
8,7
9,4
10,120
11,5
12,9
13,4
14,30
15,11
16,5
17,4
18,18
19,4
20,9
21,5
22,9
23,4
24,3
25,11
26,43
27,6
28,5
29,22
30,8
31,10
32,10
33,1
34,5
35,16
36,10
37,3
38,8
39,4
40,1
41,2
42,8
43,8
44,8
45,192
46,3
47,15
48,5
49,9
50,2
51,12
52,45
53,5
54,25
55,4
56,3
57,5
58,25
59,7
60,106
61,18
62,5
63,4
64,5
65,15
66,6
67,14
68,6
69,3
70,19
71,8
72,5
73,8
74,1
75,2
76,8
77,7
78,5
79,3
80,61
81,1
82,14
83,1
84,6
85,1
86,16
87,7
88,4
89,1
90,19
91,3
92,22
93,17
94,5
95,8
96,6
97,18
98,49
99,1
100,11
101,24
102,7
103,6
104,6
105,3
106,5
107,2
108,8
109,6
110,20
111,7
112,11
113,1
114,9
115,5
116,9
117,18
118,9
119,1
120,12
121,7
122,2
123,5
124,6
125,4
126,9
127,8
128,7
129,5
130,5
131,3
132,15
133,7
134,19
135,3
136,1
137,7
138,72
139,9
140,15
141,10
142,12
143,1
144,2
145,3
146,19
147,12
148,9
149,14
150,16
151,17
152,20
153,7
154,56
155,2
156,15
157,2
158,6
159,9
160,6
161,17
162,4
163,40
164,8
165,7
166,5
167,9
168,3
169,1
170,4
171,6
172,10
173,5
174,15
175,13
176,3
177,7
178,6
179,15
180,9
181,8
182,14
183,16
184,3
185,7
186,11
187,9
188,3
189,32
190,4
191,8
192,8
193,5
194,7
195,3
196,22
197,9
198,3
199,13
200,8
201,10
202,14
203,6
204,6
205,8
206,6
207,8
208,10
209,5
210,3
211,12
212,17
213,3
214,50
215,4
216,15
217,40
218,48
219,6
220,6
221,9
222,3
223,7
224,18
225,45
226,6
227,23
228,1
229,2
230,7
231,1
232,9
233,16
234,11
235,29
236,5
237,2
238,1
239,2
240,5
241,10
242,23
243,84
244,6
245,6
246,8
247,5
248,14
249,8
250,8
251,1
252,5
253,10
254,25
255,10
256,2
257,1
258,2
259,16
260,1
261,6
262,5
263,11
264,8
265,5
266,3
267,4
268,3
269,17
270,11
271,3
272,15
273,1
274,16
275,4
276,11
277,12
278,5
279,11
280,13
281,8
282,1
283,8
284,6
285,30
286,6
287,2
288,1
289,3
290,4
291,2
292,3
293,2
294,6
295,7
296,12
297,7
298,12
299,2
300,14
301,3
302,11
303,4
304,15
305,7
306,5
307,2
308,1
309,22
310,7
311,6
312,7
313,9
314,11
315,4
316,3
317,2
318,4
319,6
320,4
321,7
322,11
323,2
324,4
325,4
326,11
327,6
328,9
329,8
330,10
331,4
332,6
333,6
334,5
335,10
336,11
337,6
338,4
339,5
340,7
341,1
342,13
343,12
344,77
345,7
346,9
347,4
348,9
349,4
350,9
351,2
352,9
353,7
354,11
355,8
356,6
357,13
358,7
359,5
360,7
361,5
362,2
363,1
364,2
365,15
366,7
367,14
368,10
369,7
370,14
371,5
372,5
373,13
374,11
375,15
376,6
377,17
378,7
379,7
380,7
381,7
382,8
383,1
384,2
385,5
386,8
387,8
388,128
389,10
390,10
391,25
392,8
393,2
394,10
395,10
396,12
397,6
398,7
399,7
400,10
401,10
402,11
403,5
404,15
405,8
406,8
407,10
408,6
409,13
410,1
411,6
412,4
413,4
414,13
415,8
416,9
417,4
418,11
419,10
420,17
421,4
422,10
423,14
424,14
425,5
426,5
427,10
428,6
429,2
430,3
431,9
432,22
433,132
434,13
435,7
436,13
437,5
438,7
439,10
440,9
441,4
442,11
443,13
444,4
445,2
446,2
447,1
448,7
449,9
450,14
451,2
452,6
453,10
454,4
455,1
456,4
457,8
458,108
459,10
460,23
461,6
462,14
463,3
464,4
465,3
466,13
467,7
468,2
469,2
470,9
471,1
472,9
473,4
474,2
475,1
476,3
477,22
478,2
479,12
480,11
481,10
482,9
483,14
484,5
485,1
486,6
487,15
488,5
489,9
490,7
491,8
492,9
493,7
494,9
495,9
496,20
497,1
498,2
499,4
500,5
501,7
502,6
503,8
504,1
505,20
506,17
507,3
508,4
509,3
510,6
511,9
512,1
513,5
514,2
515,13
516,17
517,6
518,2
519,2
520,7
521,6
522,11
523,7
524,1
525,12
526,1
527,11
528,2
529,5
530,8
531,25
532,3
533,18
534,17
535,2
536,4
537,10
538,1
539,12
540,22
541,3
542,6
543,13
544,16
545,8
546,12
547,16
548,20
549,10
550,6
551,25
552,5
553,13
554,6
555,4
556,13
557,6
558,7
559,45
560,5
561,8
562,12
563,8
564,2
565,9
566,2
567,8
568,8
569,9
570,13
571,10
572,3
573,12
574,2
575,90
576,28
577,6
578,2
579,20
580,15
581,9
582,10
583,106
584,8
585,15
586,15
587,8
588,4
589,2
590,3
591,9
592,3
593,1
594,70
595,21
596,12
597,6
598,4
599,15
600,12
601,7
602,8
603,30
604,6
605,8
606,9
607,13
608,12
609,4
610,8
611,6
612,4
613,3
614,18
615,47
616,3
617,5
618,2
619,10
620,6
621,1
622,4
623,2
624,4
625,7
626,1
627,40
628,2
629,5
630,10
631,4
632,90
633,8
634,4
635,13
636,2
637,14
638,8
639,8
640,16
641,22
642,5
643,12
644,11
645,7
646,12
647,12
648,12
649,10
650,3
651,2
652,4
653,3
654,35
655,15
656,15
657,11
658,40
659,6
660,1
661,13
662,12
663,22
664,4
665,15
666,10
667,13
668,17
669,3
670,7
671,7
672,14
673,19
674,17
675,13
676,18
677,2
678,6
679,13
680,63
681,6
682,6
683,13
684,14
685,6
686,5
687,1
688,6
689,6
690,6
691,2
692,21
693,13
694,3
695,20
696,11
697,7
698,1
699,14
700,41
701,7
702,16
703,65
704,23
705,9
706,10
707,9
708,16
709,8
710,4
711,11
712,8
713,14
714,2
715,14
716,180
717,2
718,15
719,1
720,1
721,7
722,4
723,4
724,19
725,1
726,11
727,25
728,4
729,3
730,2
731,3
732,6
733,1
734,9
735,3
736,6
737,25
738,19
739,90
740,8
741,8
742,20
743,13
744,25
745,6
746,11
747,8
748,13
749,11
750,16
751,3
752,26
753,7
754,9
755,30
756,5
757,4
758,7
759,5
760,5
761,7
762,18
763,10
764,8
765,25
766,8
767,10
768,27
769,22
770,9
771,11
772,7
773,10
774,7
775,9
776,12
777,25
778,3
779,14
780,2
781,6
782,4
783,17
784,30
785,1
786,3
787,14
788,23
789,1
790,3
791,14
792,4
793,1
794,8
795,15
796,10
797,2
798,1
799,2
800,12
801,3
802,3
803,8
804,9
805,12
806,1
807,1
808,15
809,1
810,11
811,15
812,34
813,3
814,7
815,50
816,15
817,4
818,1
819,4
820,14
821,18
822,5
823,3
824,1
825,4
826,13
827,1
828,11
829,6
830,2
831,7
832,10
833,23
834,5
835,6
836,6
837,5
838,4
839,4
840,2
841,1
842,1
843,19
844,12
845,32
846,12
847,10
848,5
849,16
850,21
851,12
852,1
853,6
854,9
855,4
856,3
857,5
858,5
859,13
860,9
861,18
862,16
863,7
864,8
865,2
866,4
867,20
868,17
869,7
870,11
871,8
872,3
873,25
874,1
875,8
876,7
877,2
878,4
879,1
880,7
881,5
882,4
883,3
884,8
885,6
886,4
887,6
888,15
889,6
890,3
891,11
892,30
893,3
894,13
895,3
896,14
897,4
898,15
899,8
900,7
901,14
902,1
903,20
904,3
905,7
906,6
907,7
908,4
909,7
910,5
911,9
912,12
913,5
914,7
915,5
916,12
917,4
918,11
919,5
920,7
921,3
922,5
923,5
924,9
925,6
926,8
927,3
928,16
929,6
930,10
931,9
932,14
933,3
934,2
935,2
936,9
937,32
938,10
939,3
940,1
941,1
942,2
943,29
944,7
945,5
946,2
947,3
948,6
949,9
950,10
951,8
952,3
953,15
954,8
955,68
956,10
957,7
958,9
959,21
960,9
961,16
962,32
963,1
964,3
965,8
966,38
967,14
968,2
969,10
970,2
971,4
972,20
973,2
974,5
975,3
976,10
977,16
978,7
979,18
980,8
981,14
982,9
983,9
984,2
985,17
986,5
987,18
988,17
989,1
990,3
991,6
992,13
993,5
994,2
995,3
996,10
997,1
998,5
999,4
1000,6
1001,32
1002,7
1003,5
1004,4
